Date,Open,High,Low,Close,Volume
3-Jan-17,116.03,117.84,115.51,116.86,20663912
4-Jan-17,117.55,119.66,117.29,118.69,19630932
5-Jan-17,118.86,120.95,118.32,120.67,19492150
6-Jan-17,120.98,123.88,120.03,123.41,28545263
9-Jan-17,123.55,125.43,123.04,124.90,22880360
10-Jan-17,124.82,125.50,124.28,124.35,17324590
11-Jan-17,124.35,126.12,124.06,126.09,18356523
12-Jan-17,125.61,126.73,124.80,126.62,18653914
13-Jan-17,127.49,129.27,127.37,128.34,24884325
17-Jan-17,128.04,128.34,127.40,127.87,15294460
18-Jan-17,128.41,128.43,126.84,127.92,13145852
19-Jan-17,128.23,128.35,127.45,127.55,12195465
20-Jan-17,128.10,128.48,126.78,127.04,19097223
23-Jan-17,127.31,129.25,126.95,128.93,16593563
24-Jan-17,129.38,129.90,128.38,129.37,15162724
25-Jan-17,130.00,131.74,129.77,131.48,18777314
26-Jan-17,131.63,133.14,131.44,132.78,20020141
27-Jan-17,132.68,132.95,131.08,132.18,19539514
30-Jan-17,131.58,131.58,129.60,130.98,18956095
31-Jan-17,130.17,130.66,129.52,130.32,19790484
1-Feb-17,132.25,133.49,130.68,133.23,50139775
2-Feb-17,133.22,135.49,130.40,130.84,54366447
3-Feb-17,131.24,132.85,130.76,130.98,24804890
6-Feb-17,130.98,132.06,130.30,132.06,17058494
7-Feb-17,132.24,133.00,131.66,131.84,14596449
8-Feb-17,132.60,134.44,132.44,134.20,22390556
9-Feb-17,134.49,134.50,133.31,134.14,16470609
10-Feb-17,134.10,134.94,133.68,134.19,15061939
13-Feb-17,134.70,134.70,133.70,134.05,13526221
14-Feb-17,134.10,134.23,132.55,133.85,14364877
15-Feb-17,133.45,133.70,132.66,133.44,13226534
16-Feb-17,133.07,133.87,133.02,133.84,12831092
17-Feb-17,133.50,134.09,133.17,133.53,12276490
21-Feb-17,133.50,133.91,132.90,133.72,14759109
22-Feb-17,133.60,136.79,133.46,136.12,27360092
23-Feb-17,135.89,136.12,134.33,135.36,18422549
24-Feb-17,134.16,135.62,134.16,135.44,12625742
27-Feb-17,135.26,137.18,135.02,136.41,14306668
28-Feb-17,136.79,136.80,134.75,135.54,16112092
1-Mar-17,136.47,137.48,136.30,137.42,16257010
2-Mar-17,137.09,137.82,136.31,136.76,12294804
3-Mar-17,136.63,137.33,136.08,137.17,11160563
6-Mar-17,136.88,137.83,136.51,137.42,12748179
7-Mar-17,137.03,138.37,136.99,137.30,13527132
8-Mar-17,137.15,137.99,137.05,137.72,10184514
9-Mar-17,137.72,138.57,137.40,138.24,15535259
10-Mar-17,138.91,139.49,138.22,138.79,16314113
13-Mar-17,138.71,139.68,138.67,139.60,10955450
14-Mar-17,139.46,139.46,138.52,139.32,12944018
15-Mar-17,139.29,140.10,138.49,139.72,19344826
16-Mar-17,140.20,140.25,139.73,139.99,13612942
17-Mar-17,140.34,140.34,139.70,139.84,20592818
20-Mar-17,139.71,140.19,139.25,139.94,12099471
21-Mar-17,141.15,142.31,138.40,138.51,29894784
22-Mar-17,137.93,139.79,137.60,139.59,17055449
23-Mar-17,139.48,140.39,139.09,139.53,13022801
24-Mar-17,140.08,141.02,139.76,140.34,16664683
27-Mar-17,139.05,140.65,138.77,140.32,12800544
28-Mar-17,140.36,141.95,140.01,141.76,14679436
29-Mar-17,141.99,142.86,141.43,142.65,16527574
30-Mar-17,142.40,142.95,141.85,142.41,12403997
31-Mar-17,142.31,142.63,141.89,142.05,11478265
3-Apr-17,141.93,142.47,140.82,142.28,13563960
4-Apr-17,141.86,142.09,141.27,141.73,12948599
5-Apr-17,142.26,143.44,141.29,141.85,17158059
6-Apr-17,142.11,142.22,140.91,141.17,15103426
7-Apr-17,141.20,141.55,140.24,140.78,11818341
10-Apr-17,141.00,141.43,140.63,141.04,9039366
11-Apr-17,140.80,141.03,138.81,139.92,16638087
12-Apr-17,139.72,140.40,139.44,139.58,11612456
13-Apr-17,139.62,140.58,139.33,139.39,10965614
17-Apr-17,139.76,141.55,139.75,141.42,11519663
18-Apr-17,141.27,141.90,140.61,140.96,14807472
19-Apr-17,141.35,143.04,141.27,142.27,15563945
20-Apr-17,142.95,144.25,142.69,143.80,15968164
21-Apr-17,143.90,144.17,142.27,143.68,12382002
24-Apr-17,144.96,145.67,144.34,145.47,14407175
25-Apr-17,145.79,147.15,145.79,146.49,17767523
26-Apr-17,147.09,147.59,146.09,146.56,12394959
27-Apr-17,146.67,147.75,146.14,147.70,11275112
28-Apr-17,149.50,151.53,149.07,150.25,30652248
1-May-17,151.74,152.57,151.42,152.46,25218300
2-May-17,153.34,153.44,151.66,152.78,21870380
3-May-17,153.60,153.60,151.34,151.80,29782492
4-May-17,150.17,151.52,148.72,150.85,36225452
5-May-17,151.45,151.63,149.79,150.24,17148543
8-May-17,150.71,151.08,149.74,151.06,15827488
9-May-17,151.49,152.59,150.21,150.48,17453859
10-May-17,150.23,150.52,148.86,150.29,12080650
11-May-17,150.31,150.65,149.41,150.04,11841864
12-May-17,150.40,150.46,149.63,150.33,9598229
15-May-17,150.17,151.48,149.77,150.19,15064664
16-May-17,150.11,150.21,149.03,149.78,14550830
17-May-17,148.00,148.67,144.42,144.85,28300050
18-May-17,144.72,148.15,144.51,147.66,23031566
19-May-17,148.44,149.39,147.96,148.06,16187892
22-May-17,148.08,148.59,147.69,148.24,12586712
23-May-17,148.52,148.81,147.25,148.07,12817837
24-May-17,148.51,150.23,148.42,150.04,17940668
25-May-17,150.30,152.59,149.95,151.96,19891352
26-May-17,152.23,152.25,151.15,152.13,14996185
30-May-17,151.97,152.90,151.64,152.38,13226007
31-May-17,152.70,153.35,151.09,151.46,18023917
1-Jun-17,151.75,152.29,150.30,151.53,14530600
2-Jun-17,151.85,153.63,151.30,153.61,16854365
5-Jun-17,153.64,154.71,153.41,153.63,12520387
6-Jun-17,153.41,154.52,152.48,152.81,13457119
7-Jun-17,153.27,153.75,152.34,153.12,12066657
8-Jun-17,154.08,154.73,153.10,154.71,17799449
9-Jun-17,154.77,155.59,146.61,149.60,35577676
12-Jun-17,148.17,149.20,144.56,148.44,33170180
13-Jun-17,150.15,151.18,148.90,150.68,20483350
14-Jun-17,151.26,152.40,149.05,150.25,20808759
15-Jun-17,147.67,150.04,146.37,149.80,18994152
16-Jun-17,149.59,150.83,148.60,150.64,22882417
19-Jun-17,151.71,153.57,151.71,152.87,19026462
20-Jun-17,152.88,153.84,152.21,152.25,14743853
21-Jun-17,152.36,154.08,151.88,153.91,15039834